Sample_seq_ID,Sample_source,Collection_date,Animal_ID,Age_category,Body_length_mm,Body_mass_g,Trapping_site,Reproduction_information,Sex,Epigenetic_age_days_Clock2
96-1_16,Skokholm,19/04/2021,SK0331,Adult,84.6,21.4,Quarry,Imperforate,Female,327.3055537
96-1_24,Skokholm,29/04/2021,SK0349,Sub-adult,84.6,15.8,Quarry,Perforate,Female,242.7788242
96-1_32,Skokholm,20/04/2021,SK0341,Sub-adult,82.2,17.1,Quarry,Imperforate,Female,251.1706509
96-1_40,Skokholm,20/04/2021,SK0332,Sub-adult,92.5,19.8,Quarry,Testes abdominal,Male,296.5596726
96-1_48,Skokholm,28/09/2020,SK0235,Sub-adult,70.3,17.9,Observatory,Testes small,Male,158.526416
96-1_64,Skokholm,04/09/2020,X041A1F294B,Sub-adult,85,17.4,Observatory,Testes small,Male,99.27966905
96-1_71,Skokholm,15/04/2021,SK0284,Adult,85.5,20.7,Observatory,Testes abdominal,Male,270.3764882
96-1_72,Skokholm,19/09/2020,SK0278,Juvenile,68.6,12,Observatory,Testes abdominal,Male?,123.4334449
96-1_79,Skokholm,15/04/2021,SK0290,Adult,92.5,27.8,Observatory,"Imperforate, NIPP",Female,314.786104
96-1_8,Skokholm,16/04/2021,SK0281,Adult,86.7,20.1,Observatory,Imperforate,Female,290.0651338
96-1_80,Skokholm,15/09/2020,SK0247,Juvenile,64.4,8.8,Quarry,Testes abdominal,Male,101.5202311
96-1_87,Skokholm,18/09/2020,SK0225,Adult,86.9,23.9,Observatory,Imperforate,Unclear,424.2676918
96-1_95,Skokholm,16/09/2020,SK0267,Juvenile,64.8,8.8,Quarry,Testes abdominal,Unclear,81.95353287
96-2_11,Skokholm,16/09/2020,SK0269,Sub-adult,76.7,17.2,Quarry,Testes small,Male,152.3404986
96-2_12,Skokholm,01/05/2019,SK0009,Adult,NA,21.9,Quarry,Testes small,Male,192.3942186
96-2_13,Skokholm,19/09/2019,SK0028,Adult,92,23.2,Quarry,Imperforate,Female,343.1030241
96-2_14,Skokholm,23/09/2020,SK0295,Sub-adult,74.5,16.5,Quarry,Imperforate,Female,78.40988684
96-2_15,Skokholm,16/09/2020,SK0268,Juvenile,62.7,7.1,Quarry,Imperforate,F?,-17.95263515
96-2_16,Skokholm,12/07/2019,SK0013,Adult,NA,22.9,Quarry,Testes small,Male,376.1253203
96-2_17,Skokholm,22/09/2019,SK0101,Juvenile,63.8,9.1,Observatory,Imperforate,Female,168.8968116
96-2_18,Skokholm,23/09/2019,SK0100,Sub-adult,74.5,16.4,Observatory,Imperforate,Female,172.7813487
96-2_19,Skokholm,09/07/2019,SK0006,Adult,NA,37,Observatory,"Pregnant, Comment",Female,358.5456802
96-2_2,Skokholm,27/09/2020,SK0223,Juvenile,59.9,9.4,Observatory,Imperforate,Unclear,128.1348074
96-2_20,Skokholm,17/07/2019,SK0006,Adult,NA,30.1,Observatory,Imperforate,Female,323.7163263
96-2_21,Skokholm,01/10/2019,SK0180,Juvenile,76.7,13.4,Observatory,Testes abdominal,Male,168.9806858
96-2_22,Skokholm,20/07/2019,SK0052,Adult,NA,21.7,Quarry,"Imperforate, Comment",Female,351.0491427
96-2_23,Skokholm,25/09/2019,SK0128,Juvenile,64.5,10.2,Quarry,Imperforate,Female,94.30097426
96-2_24,Skokholm,01/05/2019,SK0006,Adult,NA,28.3,Observatory,"Imperforate, Nipples",Female,266.4726015
96-2_26,Skokholm,11/07/2019,SK0024,Juvenile,NA,9.9,Observatory,Testes abdominal,Male?,108.5546381
96-2_27,Skokholm,29/08/2020,SK0235,Sub-adult,79,16.7,Observatory,Testes small,Male,138.2045291
96-2_28,Skokholm,19/08/2020,SK0209,Adult,90.2,23.8,Observatory,Testes small,Male,255.5913068
96-2_29,Skokholm,24/09/2020,SK0309,Juvenile,73.7,12.6,Quarry,Imperforate,Female,133.9085185
96-2_3,Skokholm,24/09/2020,SK0247,Juvenile,64.8,11.6,Quarry,Testes abdominal,Male,123.9330046
96-2_31,Skokholm,26/09/2020,SK0223,Juvenile,65.9,9,Observatory,Imperforate,Unclear,125.6951878
96-2_32,Skokholm,27/09/2019,SK0155,Adult,88.5,23.8,Quarry,Testes small,Male,139.3482143
96-2_34,Skokholm,10/09/2020,SK0223,Juvenile,66.1,7.5,Observatory,Imperforate,Unclear,97.76981248
96-2_35,Skokholm,15/07/2019,SK0024,Juvenile,NA,10.5,Observatory,Testes abdominal,Male?,82.56402982
96-2_37,Skokholm,17/07/2019,SK0002,Adult,NA,26,Observatory,Testes small,Male,344.5624217
96-2_38,Skokholm,04/09/2020,SK0249,Sub-adult,76.1,18.9,Observatory,Testes abdominal,Male,187.207522
96-2_39,Skokholm,02/05/2019,SK0014,Adult,NA,21.2,Quarry,Imperforate,Female,318.6683722
96-2_4,Skokholm,21/09/2019,SK0019,Adult,90.8,27.6,Observatory,Testes small,Male,425.5333759
96-2_40,Skokholm,29/08/2020,SK0224,Adult,83.7,21.4,Observatory,Testes abdominal,Male,167.0174003
